image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Living_Things\Flowers\rose.jpg,living,left,1,1.3435623999976087,0.23066170001402497,1.1129006999835838,practice,1,normal,left,17.848832600022433,17.848854100011522,19.433936300018104,19.88366870000027,20.10077459999593,21.202061899995897,
Living_Things\Animals\kangaroo.jpg,living,left,1,1.1026980000024196,0.6910681999870576,0.411629800015362,practice,2,normal,left,17.848832600022433,21.213661700021476,21.233978600008413,21.665906900016125,22.350669400009792,22.751577000017278,
Living_Things\Birds\goldfinch.jpg,living,left,1,1.308432099991478,0.011892299982719123,1.296539800008759,practice,3,normal,left,17.848832600022433,22.762283799995203,22.783873500011396,23.209672700002557,23.21679010000662,24.502057200006675,
Living_Things\Animals\elephant.jpg,living,left,1,1.112656400015112,0.5658042000140995,0.5468522000010125,practice,4,normal,left,17.848832600022433,24.51337760000024,24.5384369000094,24.971720200002892,25.533449300011853,26.06860230001621,
Nonliving_Things\Kitchen_Uten\frying_pan.jpg,nonliving,right,1,1.1854520000051707,0.6229267000162508,0.5625252999889199,practice,5,normal,left,17.848832600022433,26.080360099993413,26.10046190000139,26.531698000006145,27.15092509999522,27.702820000005886,
Nonliving_Things\Buildings\skyscraper.jpg,nonliving,right,1,1.6564528000017162,0.893722600012552,0.7627301999891642,practice,6,normal,left,17.848832600022433,27.713437800004613,27.738431200006744,28.16172020000522,29.050773299997672,29.80250370001886,
Living_Things\Birds\rooster.jpg,living,left,1,1.015595899982145,0.5208682999946177,0.49472759998752736,practice,7,normal,left,17.848832600022433,29.813485299993772,29.838055700005498,30.269767300022068,30.784331700007897,31.26873959999648,
Nonliving_Things\Musical_Inst\guitar.jpg,nonliving,right,1,1.5237675000098534,0.87798190000467,0.6457856000051834,practice,8,normal,left,17.848832600022433,31.27903309999965,31.300937000021804,31.727482000016607,32.60096959999646,33.235127699997975,
Nonliving_Things\Vehicles\car.jpg,nonliving,right,1,2.6004026000155136,1.0866077000100631,1.5137949000054505,practice,9,normal,left,17.848832600022433,33.24669620001805,33.26717790000839,33.70189910000772,34.78423839999596,36.28638750000391,
Nonliving_Things\Kitchen_Uten\fork.jpg,nonliving,right,1,1.0669544000120368,0.5367609999957494,0.5301934000162873,practice,10,normal,left,17.848832600022433,36.298016600019764,36.31739290000405,36.7540439000004,37.28446090000216,37.80376010001055,
Nonliving_Things\Buildings\factory.jpg,nonliving,right,1,1.1184475000191014,0.022527199995238334,1.095920300023863,1,1,normal,left,40.840727500006324,40.84073840000201,42.201033400022425,42.63596640000469,42.65093020000495,43.736590600019554,
Nonliving_Things\Musical_Inst\maracas.jpg,nonliving,right,1,1.5493143000057898,0.01926840000669472,1.5300458999990951,1,2,normal,left,40.840727500006324,43.746887800021796,43.77199100001599,44.20243870001286,44.21700920001604,45.73620889999438,
Nonliving_Things\Vehicles\train.jpg,nonliving,right,1,1.1782973000081256,0.01323370001045987,1.1650635999976657,1,3,normal,left,40.840727500006324,45.74712569999974,45.77207000000635,46.20991639999556,46.217365799995605,47.37187930001528,
Nonliving_Things\Kitchen_Uten\teapot.jpg,nonliving,right,1,1.2206487000221387,0.8059179000265431,0.4147307999955956,1,4,normal,left,40.840727500006324,47.38247989999945,47.40094490000047,47.83253360001254,48.63459729999886,49.03752070001792,
Living_Things\Flowers\sunflower.jpg,living,left,1,1.0534436000161804,0.6061012000136543,0.4473424000025261,1,5,normal,left,40.840727500006324,49.049302100000205,49.06773800001247,49.50225469999714,50.10124069999438,50.53613860000041,
Nonliving_Things\Clothing\cap.jpg,nonliving,right,1,0.8724424999963958,0.5255616999929771,0.3468808000034187,1,6,normal,left,40.840727500006324,50.54856170000858,50.56770690000849,50.99874420001288,51.51806719999877,51.85298710002098,
Nonliving_Things\Kitchen_Uten\NT_(Churrera).jpg,nonliving,right,1,1.2938598000037018,0.6813379000232089,0.6125218999804929,1,7,normal,left,40.840727500006324,51.86492039999575,51.88463060001959,52.307650500006275,52.98478240001714,53.586354500002926,
Living_Things\Birds\pelican.jpg,living,left,1,1.3989374000229873,0.3854379000258632,1.013499499997124,1,8,normal,left,40.840727500006324,53.59728050002013,53.621939100004965,54.05548640000052,54.4346848000132,55.43594560000929,
Living_Things\Trees\holm_oak.jpg,living,right,0,0.834016699984204,0.47131110000191256,0.36270559998229146,1,9,normal,left,40.840727500006324,55.4481558999978,55.46782710001571,55.90166910001426,56.3679686000105,56.72039719999884,
Nonliving_Things\Furniture\filling_cabinet.jpg,nonliving,right,1,1.4342015000001993,0.01911429999745451,1.4150872000027448,1,10,normal,left,40.840727500006324,56.73064630001318,56.75504469999578,57.18765259999782,57.200472600001376,58.603620400012005,
Living_Things\Animals\snake.jpg,living,left,1,1.142118300020229,0.49583780000102706,0.646280500019202,1,11,normal,left,40.840727500006324,58.61563929999829,58.63424760001362,59.06062329999986,59.551087100000586,60.186208400002215,
Living_Things\Insects\praying_mantis.jpg,living,left,1,1.1375203999923542,0.024998799985041842,1.1125216000073124,1,12,normal,left,40.840727500006324,60.19741660001455,60.221318099997006,60.64734369999496,60.66788270001416,61.76871060000849,
Living_Things\Trees\pine_tree.jpg,living,left,1,1.5683911000087392,0.5057074000069406,1.0626837000017986,1,13,normal,left,40.840727500006324,61.78046040001209,61.80554200001643,62.23328670000774,62.734815500007244,63.786598300008336,
Nonliving_Things\Clothing\shirt.jpg,nonliving,right,1,1.8833048999949824,0.009010500012664124,1.8742943999823183,1,14,normal,left,40.840727500006324,63.79747620000853,63.823354000021936,64.25190790000488,64.25538830002188,66.11908960001892,
Living_Things\Birds\seagull.jpg,living,left,1,0.8889250000065658,0.008835199987515807,0.88008980001905,1,15,normal,left,40.840727500006324,66.1297052000009,66.15117160000955,66.58050790001289,66.58408940001391,67.45321820001118,
Nonliving_Things\Clothing\clog.jpg,nonliving,right,1,1.4573920000111684,0.011971700005233288,1.4454203000059351,1,16,normal,left,40.840727500006324,67.46425129999989,67.48482460001833,67.91078190002008,67.91780520000611,69.35256780000054,
Living_Things\Animals\zebra.jpg,living,left,1,1.1879928999987897,0.02246549999108538,1.1655274000077043,1,17,normal,left,40.840727500006324,69.36325570000918,69.3848166000098,69.81898609999917,69.83400679999613,70.98796080000466,
Nonliving_Things\Musical_Inst\balalaika.jpg,nonliving,right,1,0.8960542999848258,0.014501800003927201,0.8815524999808986,1,18,normal,left,40.840727500006324,70.99963980002212,71.01809150000918,71.44040089999908,71.45061630001874,72.32004670001334,
Nonliving_Things\Vehicles\van.jpg,nonliving,right,1,1.0659556000027806,0.01820910000242293,1.0477465000003576,1,19,normal,left,40.840727500006324,72.33226510000532,72.35146380000515,72.7894180000003,72.80085450000479,73.8369362000085,
Living_Things\Trees\eucalyptus.jpg,living,right,0,1.4354563000088092,0.010442800004966557,1.4250135000038426,1,20,normal,left,40.840727500006324,73.84868980001193,73.86811070001568,74.29796359999455,74.3038693999988,75.71814929999528,
Living_Things\Animals\rhino.jpg,living,right,0,1.3038408000138588,0.057255800027633086,1.2465849999862257,1,21,normal,left,40.840727500006324,75.72883580002235,75.7506939000159,76.18155470001511,76.23443420001422,77.47079740001936,
Nonliving_Things\Kitchen_Uten\fondue.jpg,nonliving,right,1,1.1654337999934796,0.551709799998207,0.6137239999952726,1,22,normal,left,40.840727500006324,77.4810822000145,77.50587990001077,77.93997219999437,78.48506350000389,79.0871111000015,
Nonliving_Things\Buildings\granary.jpg,nonliving,right,1,1.5903491000062786,0.009986799996113405,1.5803623000101652,1,23,normal,left,40.840727500006324,79.09877100001904,79.11820270001772,79.54551359999459,79.55108269999619,81.12024640000891,
Nonliving_Things\Buildings\pyramid.jpg,nonliving,right,1,1.4059421000129078,0.10690310000791214,1.2990390000049956,1,24,normal,left,40.840727500006324,81.13151590002235,81.1516338000074,81.58218250001664,81.6851042000053,82.97271080000792,
Living_Things\Birds\pigeon.jpg,living,left,1,1.1038020999985747,0.5083127999969292,0.5954893000016455,1,25,normal,left,40.840727500006324,82.98425930002122,83.00163579999935,83.43258510000305,83.93451660001301,84.5192257000017,
Nonliving_Things\Buildings\pagoda.jpg,nonliving,right,1,1.5325061000185087,0.5687978999922052,0.9637082000263035,1,26,normal,left,40.840727500006324,84.53001620000578,84.55139510001754,84.97333910001907,85.53533800001605,86.48742700001458,
Living_Things\Animals\hippopotamus.jpg,living,left,1,0.920261199993547,0.009724000003188848,0.9105371999903582,1,27,normal,left,40.840727500006324,86.49901850000606,86.51852949999738,86.94999710001866,86.95497770002112,87.85353360002046,
Living_Things\Birds\owl.jpg,living,left,1,1.0748978000192437,0.5456298000062816,0.5292680000129621,1,28,normal,left,40.840727500006324,87.86560570000438,87.88499449999654,88.31103350000922,88.85203750000801,89.36956360001932,
Living_Things\Birds\penguin.jpg,living,left,1,0.9180306999769527,0.4398370999842882,0.47819359999266453,1,29,normal,left,40.840727500006324,89.38128170001437,89.40624310000567,89.83301110001048,90.26880340001662,90.73588760002167,
Living_Things\Insects\butterfly.jpg,living,left,1,1.1039225999847986,0.5080047999799717,0.5959178000048269,1,30,normal,left,40.840727500006324,90.74697300000116,90.76799380002194,91.2007392999949,91.70211420001579,92.28661420001299,
Nonliving_Things\Kitchen_Uten\small_saucepan.jpg,nonliving,right,1,0.8562107000034302,0.4422488999844063,0.41396180001902394,2,1,pressure,left,96.6907640999998,96.69077410001773,100.13493110000854,100.56638040000689,101.00237030000426,101.40425500000129,
Living_Things\Insects\moth.jpg,living,left,1,1.2205851999751758,0.042965599976014346,1.1776195999991614,2,2,pressure,left,96.6907640999998,101.41631679999409,101.4354508999968,101.86332249999396,101.90168690000428,103.06845160000375,
Nonliving_Things\Clothing\undershirt.jpg,nonliving,right,1,0.8188020999950822,0.47306980000576004,0.3457322999893222,2,3,pressure,left,96.6907640999998,103.0792502000113,103.10115130001213,103.53596080001444,104.00147869999637,104.3361380000133,
Nonliving_Things\Vehicles\tractor.jpg,nonliving,right,1,0.8337411000102293,0.30204750000848435,0.5316936000017449,2,4,pressure,left,96.6907640999998,104.34729200002039,104.3689251000178,104.80352680000942,105.10144960001344,105.62097720001475,
Living_Things\Trees\cedar.jpg,living,right,0,1.1639920999878086,0.017219700006535277,1.1467723999812733,2,5,pressure,left,96.6907640999998,105.63320750001003,105.6519849000033,106.08981760000461,106.10147769999458,107.23802790002082,
Nonliving_Things\Clothing\coat.jpg,nonliving,right,1,0.6740216000180226,0.26057690000743605,0.41344470001058653,2,6,pressure,left,96.6907640999998,107.24832110002171,107.27313560000039,107.69557140002144,107.95147810000344,108.35378639999544,
Nonliving_Things\Furniture\chair.jpg,nonliving,right,1,0.9988292000198271,0.018802100006723776,0.9800271000131033,2,7,pressure,left,96.6907640999998,108.36498139999458,108.38968160000513,108.82107000000542,108.83493350000936,109.80414300001576,
Living_Things\Animals\bat.jpg,living,left,1,0.8680639999802224,0.34071879999828525,0.5273451999819372,2,8,pressure,left,96.6907640999998,109.81503150000935,109.83971380000003,110.26592269999674,110.60229199999594,111.11925200000405,
Living_Things\Flowers\geranium.jpg,living,left,1,0.8197288000083063,0.0077725000155624,0.8119562999927439,2,9,pressure,left,96.6907640999998,111.12962310001603,111.15213230001973,111.58124460000545,111.58487220000825,112.38658130000113,
Nonliving_Things\Musical_Inst\drum.jpg,nonliving,right,1,0.8573185999994166,0.010684700013371184,0.8466338999860454,2,10,pressure,left,96.6907640999998,112.39685059999465,112.41862549999496,112.84530970000196,112.8517317000078,113.68717170000309,
Living_Things\Insects\termite.jpg,living,left,1,0.9987025999871548,0.019660399993881583,0.9790421999932732,2,11,pressure,left,96.6907640999998,113.69843370001763,113.7240393999964,114.15550829999847,114.16836710000644,115.13649500001338,
Living_Things\Animals\crocodile.jpg,living,left,1,0.9190726000233553,0.010533299995586276,0.9085393000277691,2,12,pressure,left,96.6907640999998,115.14746870001545,115.1691082000034,115.60016699999687,115.60554030002095,116.50371210000594,
Nonliving_Things\Furniture\bedside_table.jpg,nonliving,right,1,1.101324499992188,0.023257499997271225,1.0780669999949168,2,13,pressure,left,96.6907640999998,116.51416240000981,116.53583760000765,116.97007860001759,116.98588190000737,118.0532596000121,
Nonliving_Things\Clothing\glove.jpg,nonliving,right,1,1.1581265999993775,0.00975929998094216,1.1483673000184353,2,14,pressure,left,96.6907640999998,118.0639155000099,118.08517020000727,118.51320060002035,118.51851069999975,119.65509830001974,
Nonliving_Things\Clothing\biretta.jpg,nonliving,right,1,0.9431972000165842,0.014680799999041483,0.9285164000175428,2,15,pressure,left,96.6907640999998,119.66694450000068,119.68579160000081,120.10874170000898,120.11882040000637,121.03566730002058,
Nonliving_Things\Furniture\lectern.jpg,nonliving,right,1,0.8425357999803964,0.013095300004351884,0.8294404999760445,2,16,pressure,left,96.6907640999998,121.04726660001324,121.06837210000958,121.49435750002158,121.50226280000061,122.3213209999958,
Nonliving_Things\Tools\showel.jpg,nonliving,right,1,0.9887092999997549,0.5416851000045426,0.44702419999521226,2,17,pressure,left,96.6907640999998,122.33162549999543,122.35431140000583,122.76426950001041,123.30392229999416,123.73850340000354,
Living_Things\Trees\willow.jpg,living,left,1,0.7671706999826711,0.00849249999737367,0.7586781999852974,2,18,pressure,left,96.6907640999998,123.75045150000369,123.771184000012,124.18329559999984,124.18852009999682,124.93638680002186,
Living_Things\Flowers\orchid.jpg,living,left,1,0.918903899990255,0.006804100004956126,0.9120997999852989,2,19,pressure,left,96.6907640999998,124.94717860000674,124.96962340001483,125.38191120000556,125.38537850001012,126.28701120000915,
Nonliving_Things\Musical_Inst\accordion.jpg,nonliving,right,1,1.1162888000253588,0.02153530000941828,1.0947535000159405,2,20,pressure,left,96.6907640999998,126.29750410001725,126.31974210002227,126.7560969000042,126.76983649999602,127.853774600022,
Nonliving_Things\Clothing\bathrobe.jpg,nonliving,right,1,1.0518272000190336,0.6716197000059765,0.38020750001305714,2,21,pressure,left,96.6907640999998,127.86419890000252,127.88555180002004,128.32020519999787,128.9862376000092,129.35452330001863,
Nonliving_Things\Kitchen_Uten\saucepan.jpg,nonliving,right,1,0.8712036999932025,0.42352059998665936,0.4476831000065431,2,22,pressure,left,96.6907640999998,129.36640990001615,129.38586229999783,129.81800910001039,130.23531139999977,130.67144229999394,
Nonliving_Things\Musical_Inst\tambourine.jpg,nonliving,right,1,1.2967270000081044,0.01698200000100769,1.2797450000070967,2,23,pressure,left,96.6907640999998,130.683041900018,130.70253470001626,131.12358470002073,131.13565240000025,132.40491820001625,
Nonliving_Things\Tools\axe.jpg,nonliving,right,1,0.8918980000016745,0.4903418000030797,0.4015561999985948,2,24,pressure,left,96.6907640999998,132.4154153999989,132.43614880001405,132.86983150002197,133.35302030001185,133.74234580001212,
Nonliving_Things\Vehicles\boat.jpg,nonliving,right,1,0.9491789000167046,0.43782660001306795,0.5113523000036366,2,25,pressure,left,96.6907640999998,133.75456140001188,133.7694199999969,134.20328370001516,134.6363815999939,135.1365832000156,
Nonliving_Things\Kitchen_Uten\peeler.jpg,nonliving,right,1,0.9850442000024486,0.47156279999762774,0.5134814000048209,2,26,pressure,left,96.6907640999998,135.14764520002063,135.16898180000135,135.60464140001568,136.0697269999946,136.57243100000778,
Nonliving_Things\Buildings\palace.jpg,nonliving,right,1,0.9581075000169221,0.4766029000165872,0.4815046000003349,2,27,pressure,left,96.6907640999998,136.58319230002235,136.60282840000582,137.01262409999617,137.4859708000149,137.95559339999454,
Living_Things\Insects\grasshopper.jpg,living,left,1,0.7858444000012241,0.44029610001598485,0.3455482999852393,2,28,pressure,left,96.6907640999998,137.96807410000474,137.98620720001054,138.4197866000177,138.85240709999925,139.18742250002106,
Nonliving_Things\Furniture\sofa.jpg,nonliving,right,1,0.927249500004109,0.43043540001963265,0.49681409998447634,2,29,pressure,left,96.6907640999998,139.1980140999949,139.21959019999485,139.64322100000572,140.0687177000218,140.55519529999583,
Living_Things\Insects\ladybird.jpg,living,left,1,0.8377948999986984,0.34323199998470955,0.49456290001398884,2,30,pressure,left,96.6907640999998,140.56562290000147,140.59039420000045,141.0156426000176,141.35417840001173,141.83758730001864,
Nonliving_Things\Buildings\mill.jpg,nonliving,right,1,1.0220635999867227,0.010040199995273724,1.012023399991449,3,1,normal,left,144.40378610001062,144.40379579999717,147.06972890000907,147.49717580000288,147.50257209999836,148.50386550000985,
Nonliving_Things\Furniture\bed.jpg,nonliving,right,1,0.8549774999846704,0.4264997999998741,0.42847769998479635,3,2,normal,left,144.40378610001062,148.51458980000461,148.53590970000369,148.96454220000305,149.38658869999927,149.80388320001657,
Nonliving_Things\Clothing\trousers.jpg,nonliving,right,1,0.985879699990619,0.5233026999922004,0.4625769999984186,3,3,normal,left,144.40378610001062,149.81496829999378,149.83620620000875,150.2705219000054,150.78660570000648,151.23822910001036,
Living_Things\Birds\barn_owl.jpg,living,left,1,0.9385132000024896,0.37578560001566075,0.5627275999868289,3,4,normal,left,144.40378610001062,151.24913360000937,151.27382980001858,151.69893020001473,152.0699728000036,152.62062850000802,
Living_Things\Birds\kiwi.jpg,living,left,1,1.0572556999977678,0.3943855999968946,0.6628701000008732,3,5,normal,left,144.40378610001062,152.6326187000086,152.65282459999435,153.08003510002163,153.46957489999477,154.12052700002096,
Nonliving_Things\Tools\screwdriver.jpg,nonliving,right,1,0.8895397000014782,0.4100641999975778,0.4794755000039004,3,6,normal,left,144.40378610001062,154.13244109999505,154.15288510001847,154.58340030000545,154.98677069999394,155.45552479999606,
Nonliving_Things\Vehicles\plane.jpg,nonliving,right,1,1.1651624999940395,0.5375285999907646,0.6276339000032749,3,7,normal,left,144.40378610001062,155.4662070000195,155.48650990001624,155.92089930002112,156.4527076999948,157.06995610002195,
Nonliving_Things\Furniture\bookcase.jpg,nonliving,right,1,1.946557599992957,0.6338092999940272,1.3127482999989297,3,8,normal,left,144.40378610001062,157.08031990000745,157.10235770000145,157.54029619999346,158.1697306999995,159.47072710000793,
Nonliving_Things\Tools\bit.jpg,nonliving,right,1,1.0993038000015076,0.43535179999889806,0.6639520000026096,3,9,normal,left,144.40378610001062,159.4824273000122,159.50263260002248,159.92293880000943,160.35352240002248,161.0051761000068,
Living_Things\Insects\beetle.jpg,living,left,1,1.0214337999932468,0.3918009999906644,0.6296328000025824,3,10,normal,left,144.40378610001062,161.01745050001773,161.0366084999987,161.46826819999842,161.8534323000058,162.4713926000113,
