image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Nonliving_Things\Musical_Inst\bugle.jpg,nonliving,right,1,1.0905002999934368,0.5622277999937069,0.5282724999997299,1,1,normal,left,26.49368830001913,26.493698900012532,27.516783900005976,27.96097060001921,28.51757520000683,29.034729100007098,
Living_Things\Birds\duck.jpg,living,left,1,1.0917140000092331,0.014444600004935637,1.0772694000042975,1,2,normal,left,26.49368830001913,29.045808800001396,29.067178199999034,29.510088500013808,29.518190500006313,30.584715300006792,
Nonliving_Things\Kitchen_Uten\small_saucepan.jpg,nonliving,right,1,1.008596600004239,0.01285440000356175,0.9957422000006773,1,3,normal,left,26.49368830001913,30.595421800011536,30.617178300017258,31.0600998000009,31.067276800022228,32.051448600017466,
Nonliving_Things\Kitchen_Uten\pot.jpg,nonliving,right,1,1.1725232999888249,0.011145500000566244,1.1613777999882586,1,4,normal,left,26.49368830001913,32.06296250000014,32.08405960001983,32.5280017000041,32.53383540001232,33.68464620001032,
Nonliving_Things\Clothing\shoe.jpg,nonliving,right,1,0.9284517000196502,0.01634950001607649,0.9121022000035737,1,5,normal,left,26.49368830001913,33.695186099997954,33.7172436999972,34.15723400001298,34.167387100023916,35.0680621000065,
Nonliving_Things\Musical_Inst\piano_.jpg,nonliving,right,1,1.1588312000094447,0.013899799989303574,1.1449314000201412,1,6,normal,left,26.49368830001913,35.07947290001903,35.10063000000082,35.54325210000388,35.55054360002396,36.684751000022516,
Nonliving_Things\Vehicles\van.jpg,nonliving,right,1,0.8749766999972053,0.016278800001600757,0.8586978999956045,1,7,normal,left,26.49368830001913,36.69545670002117,36.71747130001313,37.17932049999945,37.1866519000032,38.034859900013544,
Living_Things\Animals\cheetah.jpg,living,left,1,1.256941600004211,0.34575179999228567,0.9111898000119254,1,8,normal,left,26.49368830001913,38.04530510000768,38.067432300013024,38.512011700018775,38.851204800012056,39.75146320002386,
Nonliving_Things\Tools\nail.jpg,nonliving,right,1,1.344369500002358,0.7824829999881331,0.561886500014225,1,9,normal,left,26.49368830001913,39.76235960001941,39.784230500023114,40.22627390001435,41.00099650002085,41.55166860000463,
Living_Things\Animals\lynx.jpg,living,right,0,1.6594787999929395,0.01523079999606125,1.6442479999968782,1,10,normal,left,26.49368830001913,41.56287400002475,41.58463650001795,42.026000100013334,42.03417420000187,43.66815390001284,
Nonliving_Things\Kitchen_Uten\NT_(Churrera).jpg,nonliving,right,1,1.0612165000056848,0.015041900012874976,1.0461745999928098,1,11,normal,left,26.49368830001913,43.67840730000171,43.700698500004364,44.141756400000304,44.15097909999895,45.18514539999887,
Living_Things\Birds\partridge.jpg,living,left,1,1.0450901000003796,0.01784300000872463,1.027247099991655,1,12,normal,left,26.49368830001913,45.197191700019175,45.21774700001697,45.65730230000918,45.66770489999908,46.68448220001301,
Nonliving_Things\Kitchen_Uten\cup.jpg,nonliving,right,1,0.8680266999872401,0.01023929999792017,0.85778739998932,1,13,normal,left,26.49368830001913,46.694929500023136,46.717768200003775,47.16803030000301,47.17212550001568,48.01812860000064,
